Image Name,Head Height,Face Height,Face Height 2,Face Height 3,Face Width,Face Width 2,Orbits Intercanthal Width,Orbits Fissure Length(left and right),Orbits Biocular Width,Nose Height,Nose Width,Labio-oral region,Intercanthal Face Height,eye fissure height (left and right),orbit and brow height (left and right),Columella Length,Upper Lip Height,Lower Vermilion Height,Philtrum Width,lateral upper lip heights (left and right),Lower Face Height,Upper Vermilion Height,edge_of_similarity_average,Average_ITA
107.jpg,281.58480072617556,833.3834651587467,559.3943153089778,336.44167399417097,617.8875302188902,421.6028937282096,147.08500943332058,234.21357774475842,357.1134273588715,227.6071176391459,138.36184445142382,268.36542251191753,275.056357861439,43.93176527297759,117.2092146548214,80.05623023850174,120.20815280171308,657.9278075898601,174.23260314877925,99.31767214348109,216.23366990364843,546.5757038142109,0.8998000025749207,-9.08727898498621
108.jpg,247.34793308212625,672.7614733321165,427.00468381506073,237.25513693068902,505.2840785142552,347.5471191076111,141.00354605470034,238.41140912296962,343.05247412021384,190.21303845951255,100.07996802557443,185.09727172489605,291.8938163099726,50.0,113.00442469213318,55.57877292636101,88.09086218218096,585.9692824713596,115.10864433221339,87.93179174792243,149.164338901763,514.2810515661646,0.9081000089645386,-3.528409984421837
109.jpg,257.390753524675,703.6831673416666,448.0178567869812,239.40969069776602,535.2121074863684,350.8974209081623,145.0551619212498,250.25187311986298,363.23270777836075,209.2390976849212,128.191263352851,283.2543027034188,341.603571409902,51.10772935672255,102.00490184299969,34.92849839314596,88.2779700718135,653.6497533082988,176.22996340009834,66.2872536767062,151.16216457830973,554.4988728572854,0.9031999707221985,-10.161362749696417
11.jpg,262.48809496813374,743.2428943488125,481.00935541837435,271.01660465735307,598.1203892194279,411.0985283359696,150.0133327407934,254.4425278918601,358.05027579936313,210.0,123.00406497347964,257.0311265197272,347.0518693221519,50.21951811795888,121.10326172320876,58.034472514187634,100.00499987500625,658.7085850359019,162.00308639035245,83.57032966310472,171.011695506477,569.5278746470624,0.8835999965667725,-21.436909938212363
110.jpg,261.23169792351007,746.0428942091735,485.00927826176684,284.0017605579233,585.041878842874,398.08039389048037,157.00318468107582,264.2290672882149,370.00540536592166,201.03979705520993,131.0,273.0164830188829,354.2767279966326,48.82622246293481,118.94956914591998,47.042533945356304,121.00413216084813,661.8859418359027,175.0028571195339,74.70609078247904,163.0,560.083029559011,0.8934999704360962,0.9663961645140662
111.jpg,251.3901350490906,753.1122094349553,502.00099601494816,294.0017006753532,571.0560392816103,407.14862151307847,153.00326793895613,256.0703028466987,356.00140449161154,208.00961516237658,121.00413216084813,255.00784301664135,341.8552325180938,46.04345773288535,109.22453936730518,54.08326913195984,107.0,646.4503074482988,160.00312496948303,91.4166286842826,187.00267377767625,566.1669365125449,0.8784000277519226,-24.805928015150048
112.jpg,260.4035330021465,770.5841939723394,511.00880618635136,302.0149002946709,557.1759147701918,384.42164351139235,151.00331122197287,251.09759058979438,353.0,209.0861066642162,118.01694793545543,270.0074073057997,316.4364075134213,49.20365840057018,110.01818031580054,58.309518948453004,119.03780911962384,651.2403550149514,175.0114281982751,83.38465086573187,183.0,540.5598949237725,0.8952999711036682,13.851617334596199
113.jpg,234.33522995913356,689.7427056518974,457.00109409059405,258.15692901799093,532.4546929082323,370.98382714075285,145.0,244.13111231467406,349.0014326618159,199.16073910286636,119.03780911962384,252.04959829366916,298.6452745315084,46.61544808322666,98.18350166906862,48.507731342539614,83.09632964216891,583.6137421274451,155.05160431288675,80.62257748298549,175.07141400011596,514.8747420489764,0.8906999826431274,-5.377952218270459
114.jpg,240.20824298928628,641.0280805081786,401.0199496284443,238.0021008310641,557.0224411996343,384.04687213932624,146.01369798755184,257.09531306501873,365.0219171501898,163.02760502442524,90.0222194794152,185.04323819042943,309.00647242412253,64.38167441127949,126.39620247459969,57.0087712549569,88.0056816347672,550.6223751356277,109.01834707974616,84.48076704197234,150.0,489.2647545041437,0.8895000219345093,-12.154242793248892
115.jpg,245.96747752497686,729.1536189308807,486.00925917105735,264.27258654654287,551.8160925525822,383.76685630731583,146.0,236.10379073619296,339.00589965367857,222.1823575354263,113.07077429645558,217.03686322834653,302.5359482772254,50.32891812864648,97.18538984847466,51.66236541235796,75.23961722390672,609.0533638360436,135.03332921912278,93.04837451562494,189.0952141118331,560.8440068325594,0.8888000249862671,9.725245251755712
116.jpg,255.3311575190149,732.1154280576253,477.0,272.01654361453825,592.0684082097271,418.07654801483426,159.00314462299164,261.00766272276377,361.0221599846746,205.0219500443794,122.00409829181969,238.00840321299583,347.5068344651656,47.80167361086848,118.3427226321923,52.009614495783374,88.0056816347672,630.6346010171025,146.00342461736986,93.30058949438637,184.0108692441835,571.4621597271337,0.8916000127792358,-19.713718529646684
117.jpg,246.43457549621561,742.0970286963828,499.84197502810827,281.44271175498574,597.4428842994115,384.0117185711915,148.0135128966271,243.10080213771406,357.0224082603219,220.14540649307222,147.03060905811415,281.00177935379696,317.6570477732235,42.43819034784589,85.58621384311844,50.566787519082126,89.26925562588724,642.3581555487561,174.01149387324966,88.20430828479978,192.26284092356485,566.6506860491744,0.8797000050544739,-7.09862577993523
118.jpg,263.97348351681086,754.1153757880819,494.1012042082067,273.0567706540162,607.7433668909929,407.89459422747933,158.00316452527144,254.159398803192,373.0053618917562,222.44100341438852,140.12851244482687,244.10038918445008,309.9193443462347,47.20169488482379,108.07404868885037,58.18934610390462,87.28115489611719,639.9726556658495,150.08331019803634,102.69371937952194,185.77943912069495,577.0658541275857,0.9035000205039978,12.04588677410606
119.jpg,252.7152547829276,706.407814226315,454.0275322048212,261.00766272276377,565.022123460666,396.01136347332255,148.0,255.28219679405768,360.0055555126893,193.02331465395574,110.0,252.00793638296395,334.8447401408599,51.61395160225576,114.15778554264269,45.0111097397076,100.00499987500625,622.4291124296806,158.00316452527144,70.3846574190711,161.00310556011024,532.319452960344,0.8751999735832214,-26.391845540440023
12.jpg,239.52661647507986,671.3605588653537,433.0288673980062,255.1960031034969,567.2856423354992,390.56497538821884,152.0,253.23901753086943,362.0013812128346,178.07021087200408,105.01904589168576,233.00214591286493,300.4080558174165,54.67174773134658,104.12012293500234,55.44366510251645,100.04498987955368,577.7551384453452,142.01408380861386,80.4114419718985,155.15798400340216,500.1299831043926,0.8837000131607056,-50.73244452097469
120.jpg,219.32852071721086,674.7592163134935,457.1225218691374,273.19040978775223,557.654014600451,367.8382796827976,128.03515142334936,227.17834403833479,302.0595967685847,187.21645226849054,93.1933474020544,166.0752841334315,378.565714242587,49.678969393496885,90.02777349240623,68.4470598345904,87.82368700982668,618.236200816484,106.1178590059185,88.84255736976509,185.58555978308226,567.5323779309864,0.9020000100135803,-36.52378819164528
121.jpg,228.0548179714693,716.0006983236818,488.01639316727875,281.0071173475861,574.3483263665004,401.44987233775527,155.00322577288512,262.0686932847951,362.0013812128346,207.0869382650678,120.01666550941998,236.00847442411893,357.39753776432207,49.09175083453431,87.28115489611719,50.24937810560445,101.0,645.7011692725978,149.0,92.69843580125827,180.01111076819674,576.5943114530354,0.8791000247001648,-8.398538664434858
122.jpg,231.05410621756974,726.1349736791364,495.36451225335065,282.59688604087626,552.869785754295,393.8146772277539,139.01438774457844,242.10121850168372,331.02416830195347,214.28252378577213,113.03981599418853,212.00943375236866,374.64650005038084,51.85556864985669,97.04638066409278,61.68468205316454,87.5728268357257,643.5479780094099,135.0,92.89241088485109,195.02820308868152,593.1652383611164,0.8738999962806702,6.642763382998898
